PRE,POST
F,M
Pre-A,D
C,M
E,I
C,N
F,N
K,R
F,N
Pre-A,C
B,E
H,S
H,M
I,R
E,L
D,R
Pre-A,L
Pre-A,C
D,F
D,H
D,D
F,M
D,H
J,S
B,H
Pre-A,Pre-A
Pre-A,D
H,N
J,V
Pre-A,Pre-A
D,N
F,L
N,U
K,T
Pre-A,H
D,P
O,V
E,T
C,I
E,T
H,L
H,O
E,L
J,T
E,U
Pre-A,K
O,R
Pre-A,F
F,L
N,V
H,K
H,J
C,H
I,L
H,K
E,D
H,L
N,O
N,O
H,I
D,D
F,H
I,V
E,H
J,N
B,D
A,D
B,E
A,E
B,F
E,I
B,H
B,G
D,K
G,K
E,K
J,K
I,L
G,L
I,L
J,N
J,K
B,H
A,C
N,Q
H,N
F,L
C,K
B,G
N,Q
Pre-A,B
B,G
B,H
C,L
B,F
B,K
B,I
F,M
B,K
C,I
A,G
B,I
A,E
F,K+
A,E
A,G
A,H
B,G
B,J
B,F
E,K+
B,E
C,J
B,J
Pre-A,B
Pre-A,F
A,D
B,F
A,F
Pre-A,E
F,K+
A,G
A,G
F,J
D,H
B,I
B,I
B,K
E,K
B,H
A,G
A,G
B,J
A,D
I,K+
Pre-A,B
A,G
A,B
K,K+
A,I
B,J
C,I
D,K+
Pre-A,A
H,K
A,G
G,K+
H,K+
K,K+
A,B
B,G
Pre-A,A
A,G
A,B
E,L
A,C
B,G
A,H
A,D
F,N
B,H
D,M
A,H
B,K
B,E
Pre-A,A
A,D
A,C
B,H
Pre-A,A
A,B
J,N
A,F
